fecha,cierre
2023-01-03,124.15485382080078
2023-01-04,126.77251434326172
2023-01-05,126.34453582763672
2023-01-06,129.4100799560547
2023-01-09,128.86265563964844
2023-01-10,132.3661651611328
2023-01-11,132.26663208007812
2023-01-12,136.06871032714844
2023-01-13,136.33741760253906
2023-01-17,134.7250518798828
2023-01-18,132.39602661132812
2023-01-19,135.51133728027344
2023-01-20,138.71621704101562
2023-01-23,142.5979461669922
2023-01-24,142.4685516357422
2023-01-25,140.83624267578125
2023-01-26,146.60902404785156
2023-01-27,151.02821350097656
2023-01-30,146.37014770507812
2023-01-31,148.2711944580078
2023-02-01,152.40171813964844
2023-02-02,187.88449096679688
2023-02-03,185.65499877929688
2023-02-06,185.1872100830078
2023-02-07,190.7211151123047
2023-02-08,182.5695343017578
2023-02-09,177.08538818359375
2023-02-10,173.3330841064453
2023-02-13,178.58831787109375
2023-02-14,178.6380615234375
2023-02-15,176.3289794921875
2023-02-16,171.63111877441406
2023-02-17,172.0690460205078
2023-02-21,171.27279663085938
2023-02-22,170.31729125976562
2023-02-23,171.23297119140625
2023-02-24,169.59071350097656
2023-02-27,168.74472045898438
2023-02-28,174.119384765625
2023-03-01,172.60650634765625
2023-03-02,173.71128845214844
2023-03-03,184.38099670410156
2023-03-06,184.0326385498047
2023-03-07,183.64447021484375
2023-03-08,184.1023406982422
2023-03-09,180.8377227783203
2023-03-10,178.66793823242188
2023-03-13,180.05140686035156
2023-03-14,193.10989379882812
2023-03-15,196.82237243652344
2023-03-16,203.9686737060547
2023-03-17,194.6924285888672
2023-03-20,196.88209533691406
2023-03-21,201.21168518066406
2023-03-22,198.87269592285156
2023-03-23,203.32174682617188
2023-03-24,205.0436248779297
2023-03-27,201.88848876953125
2023-03-28,199.73861694335938
2023-03-29,204.38673400878906
2023-03-30,206.8650665283203
2023-03-31,210.94581604003906
2023-04-03,212.07052612304688
2023-04-04,213.71279907226562
2023-04-05,210.48794555664062
2023-04-06,215.0863037109375
2023-04-10,213.74264526367188
2023-04-11,212.8468475341797
2023-04-12,212.99615478515625
2023-04-13,219.3163604736328
2023-04-14,220.4510040283203
2023-04-17,217.83335876464844
2023-04-18,216.86788940429688
2023-04-19,214.6881866455078
2023-04-20,212.07052612304688
2023-04-21,211.89134216308594
2023-04-24,211.79180908203125
2023-04-25,206.576416015625
2023-04-26,208.41773986816406
2023-04-27,237.44091796875
2023-04-28,239.19268798828125
2023-05-01,242.03927612304688
2023-05-02,238.1177520751953
2023-05-03,235.91812133789062
2023-05-04,232.42459106445312
2023-05-05,231.68804931640625
2023-05-08,232.17575073242188
2023-05-09,232.2752685546875
2023-05-10,231.9866485595703
2023-05-11,234.68392944335938
2023-05-12,232.71322631835938
2023-05-15,237.73953247070312
2023-05-16,237.69972229003906
2023-05-17,241.35252380371094
2023-05-18,245.6920623779297
2023-05-19,244.48773193359375
2023-05-22,247.15516662597656
2023-05-23,245.5825653076172
2023-05-24,248.04098510742188
2023-05-25,251.50466918945312
2023-05-26,260.81085205078125
2023-05-30,261.2885437011719
2023-05-31,263.478271484375
2023-06-01,271.3312072753906
2023-06-02,271.3312072753906
2023-06-05,270.116943359375
2023-06-06,269.8481750488281
2023-06-07,262.36346435546875
2023-06-08,263.3388977050781
2023-06-09,263.7071533203125
2023-06-12,269.7785339355469
2023-06-13,270.0472717285156
2023-06-14,272.0677490234375
2023-06-15,280.5079040527344
2023-06-16,279.68182373046875
2023-06-20,282.9961853027344
2023-06-21,280.31884765625
2023-06-22,283.54364013671875
2023-06-23,287.3756103515625
2023-06-26,277.1637268066406
2023-06-27,285.7034912109375
2023-06-28,283.9517517089844
2023-06-29,280.2093811035156
2023-06-30,285.6338195800781
2023-07-03,284.67828369140625
2023-07-05,292.9891662597656
2023-07-06,290.6202697753906
2023-07-07,289.16717529296875
2023-07-10,292.72039794921875
2023-07-11,296.8907775878906
2023-07-12,307.8889465332031
2023-07-13,311.9398498535156
2023-07-14,307.421142578125
2023-07-17,309.16290283203125
2023-07-18,310.5862121582031
2023-07-19,314.52764892578125
2023-07-20,301.1009521484375
2023-07-21,292.8796691894531
2023-07-24,290.2420349121094
2023-07-25,293.0886535644531
2023-07-26,297.1694641113281
2023-07-27,310.2478332519531
2023-07-28,323.9532165527344
2023-07-31,317.10546875
2023-08-01,321.1961669921875
2023-08-02,312.8355712890625
2023-08-03,311.72088623046875
2023-08-04,309.2723693847656
2023-08-07,315.0750427246094
2023-08-08,311.1734619140625
2023-08-09,303.7782897949219
2023-08-10,304.3057861328125
2023-08-11,300.2250671386719
2023-08-14,304.75372314453125
2023-08-15,300.5335998535156
2023-08-16,292.9095153808594
2023-08-17,283.7526550292969
2023-08-18,281.9212951660156
2023-08-21,288.5401306152344
2023-08-22,286.2508850097656
2023-08-23,292.8597412109375
2023-08-24,285.4049072265625
2023-08-25,284.1607360839844
2023-08-28,288.8984375
2023-08-29,296.59210205078125
2023-08-30,293.7156982421875
2023-08-31,294.50201416015625
2023-09-01,294.98974609375
2023-09-05,298.74200439453125
2023-09-06,297.7666320800781
2023-09-07,297.26898193359375
2023-09-08,296.49267578125
2023-09-11,306.1172790527344
2023-09-12,300.24493408203125
2023-09-13,303.62896728515625
2023-09-14,310.25775146484375
2023-09-15,298.9012756347656
2023-09-18,301.13079833984375
2023-09-19,303.6389465332031
2023-09-20,298.2643127441406
2023-09-21,294.3428039550781
2023-09-22,297.6770324707031
2023-09-25,299.4188232421875
2023-09-26,297.5575866699219
2023-09-27,296.3433532714844
2023-09-28,302.5341796875
2023-09-29,298.80169677734375
